loc,acc_2014m01,acc_2014m02,acc_2014m03,acc_2014m04,acc_2014m05,acc_2014m06,acc_2014m07,acc_2014m08,acc_2014m09,acc_2014m10,acc_2014m11,acc_2014m12,acc_2015m01,acc_2015m02,acc_2015m03,acc_2015m04,acc_2015m05,acc_2015m06,acc_2015m07,acc_2015m08,acc_2015m09,acc_2015m10,acc_2015m11,acc_2015m12,acc_2016m01
Bo,0,0,0,0,0,2,19,82,154,242,292,346,354,354,354,354,354,354,354,354,354,354,354,358,358
Bombali,0,0,0,0,0,2,8,47,368,689,862,962,995,1033,1053,1053,1053,1053,1053,1053,1053,1053,1053,1064,1064
Bonthe,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kailahun,0,0,0,0,20,225,447,566,620,651,656,658,658,658,658,658,658,658,658,658,658,658,658,658,658
Kambia,0,0,0,0,0,0,0,0,20,55,79,122,170,199,227,245,247,267,268,268,268,268,268,277,277
Kenema,0,0,0,0,0,70,212,378,455,517,520,526,531,532,532,532,532,532,532,532,532,532,532,532,532
Koinadugu,0,0,0,0,0,0,0,1,2,103,132,146,147,150,152,153,153,153,153,153,153,153,153,155,155
Kono,0,0,0,0,0,2,3,6,42,72,162,340,398,402,403,403,403,403,403,403,403,403,403,450,450
Moyamba,0,0,0,0,0,1,11,25,130,202,224,247,259,262,263,263,263,263,263,263,263,263,263,276,276
Port Loko,0,0,0,0,0,5,14,104,311,665,920,1184,1297,1380,1418,1420,1433,1456,1459,1459,1459,1459,1459,1514,1514
Pujehun,0,0,0,0,0,0,4,13,45,52,52,54,54,54,54,54,54,54,54,54,54,54,54,54,54
Tonkolili,0,0,0,0,0,0,0,7,123,312,404,468,490,496,496,496,496,496,499,501,501,501,501,505,505
Western Rural,0,0,0,0,0,1,3,50,275,445,595,762,846,881,904,910,917,918,919,919,919,919,919,985,985
Western Urban (Freetown),0,0,0,0,0,3,12,73,303,512,558,618,732,866,944,962,972,983,993,994,994,994,994,1006,1006
